,loss,accuracy,jaccard_coef_int,dice_coef,binary_crossentropy,val_loss,val_accuracy,val_jaccard_coef_int,val_dice_coef,val_binary_crossentropy,lr
9,0.6233663558959961,0.9431836009025574,0.7024471759796143,0.5748128890991211,0.19817930459976196,0.8529640436172485,0.91358482837677,0.6365861296653748,0.49331825971603394,0.34628236293792725,0.00010000000474974513
10,0.6055644154548645,0.9436884522438049,0.7111469507217407,0.5905444622039795,0.19610875844955444,0.86484694480896,0.9115733504295349,0.6311693787574768,0.4889421761035919,0.35378921031951904,0.00010000000474974513
11,0.6022003293037415,0.9435478448867798,0.7128100395202637,0.591277539730072,0.19347786903381348,0.7784799337387085,0.9230054616928101,0.6986044049263,0.5574930310249329,0.33597293496131897,0.00010000000474974513
12,0.5913801789283752,0.9443457126617432,0.7210027575492859,0.6046479940414429,0.19602805376052856,0.7754717469215393,0.921726405620575,0.6848630309104919,0.5549656748771667,0.33043724298477173,0.00010000000474974513
13,0.5871602296829224,0.9443935751914978,0.7184743881225586,0.6028509736061096,0.19001121819019318,0.7470627427101135,0.9261050224304199,0.7001885175704956,0.5766303539276123,0.32369303703308105,0.00010000000474974513
14,0.576991617679596,0.9453691244125366,0.728735089302063,0.6131470799446106,0.19013850390911102,0.7490501403808594,0.9251390695571899,0.7068419456481934,0.5912248492240906,0.3402750492095947,0.00010000000474974513
15,0.5825855135917664,0.9451396465301514,0.7107108235359192,0.6097480058670044,0.1923334300518036,0.788413405418396,0.922957718372345,0.6895178556442261,0.5376760959625244,0.32608965039253235,0.00010000000474974513
16,0.5691628456115723,0.9464589953422546,0.7193021178245544,0.6139066219329834,0.18306957185268402,0.783545970916748,0.9197360873222351,0.6879053115844727,0.5704411268234253,0.35398706793785095,0.00010000000474974513
17,0.5548297762870789,0.9470644593238831,0.7257185578346252,0.6232223510742188,0.17805206775665283,0.7389960289001465,0.928105890750885,0.7019636034965515,0.6056928038597107,0.34468886256217957,0.00010000000474974513
18,0.5486031174659729,0.9480214715003967,0.7276465892791748,0.6330748200416565,0.1816779375076294,0.7570586204528809,0.92652428150177,0.7019349932670593,0.5922483801841736,0.3493068814277649,0.00010000000474974513
19,0.5176953673362732,0.9502724409103394,0.7354643940925598,0.6509063839912415,0.16860195994377136,0.7488777041435242,0.92322838306427,0.7357848882675171,0.61752849817276,0.36640626192092896,0.00010000000474974513
20,0.5083758234977722,0.9511562585830688,0.7387469410896301,0.6625359058380127,0.1709117889404297,0.7661924958229065,0.9178785085678101,0.6768208146095276,0.5874980688095093,0.35369035601615906,0.00010000000474974513
21,0.4872337877750397,0.953008770942688,0.7403246164321899,0.6738499402999878,0.16108348965644836,0.7316461801528931,0.92519211769104,0.7004814743995667,0.597379207611084,0.32902538776397705,0.00010000000474974513
22,0.45050933957099915,0.9570693373680115,0.7618393301963806,0.6989242434501648,0.1494334191083908,0.6845260262489319,0.9274052977561951,0.7043643593788147,0.6318278312683105,0.3163538873195648,0.00010000000474974513
23,0.4510878026485443,0.9562607407569885,0.7621952891349792,0.6981846690177917,0.14927266538143158,0.6639175415039062,0.929703414440155,0.7013015151023865,0.6150379776954651,0.2789555788040161,0.00010000000474974513
24,0.42572927474975586,0.9592245817184448,0.7753709554672241,0.7154849171638489,0.14121399819850922,0.6248396635055542,0.931990921497345,0.7385764122009277,0.6581400036811829,0.28297939896583557,0.00010000000474974513
25,0.41048991680145264,0.9600898623466492,0.7824428677558899,0.7231841087341309,0.13367395102977753,0.6260520815849304,0.9310780167579651,0.7155624032020569,0.660336434841156,0.28638848662376404,0.00010000000474974513
26,0.399074524641037,0.9610097408294678,0.7840477824211121,0.7323057651519775,0.13138028979301453,0.6009906530380249,0.935419499874115,0.7403183579444885,0.6744138598442078,0.2754044830799103,0.00010000000474974513
27,0.3727654218673706,0.963699221611023,0.7996898293495178,0.7456426024436951,0.11840801686048508,0.6818057894706726,0.9349842667579651,0.7598276734352112,0.6793420910835266,0.36114808917045593,0.00010000000474974513
28,0.36349615454673767,0.9654013514518738,0.7978568077087402,0.7559805512428284,0.11947658658027649,0.6653368473052979,0.9335035085678101,0.7242756485939026,0.6599379181861877,0.3252747654914856,0.00010000000474974513
29,0.35199859738349915,0.9657939672470093,0.7977608442306519,0.7574160099029541,0.10941462963819504,0.6259713172912598,0.939325749874115,0.7533342838287354,0.666650116443634,0.2926214039325714,0.00010000000474974513
30,0.3393941819667816,0.967703104019165,0.8103649020195007,0.7651212811470032,0.10451547056436539,0.5800744891166687,0.9447817802429199,0.7635614275932312,0.6924770474433899,0.27255159616470337,0.00010000000474974513
31,0.31431102752685547,0.9702548980712891,0.8205756545066833,0.7823132276535034,0.09662400931119919,0.5263293981552124,0.953751266002655,0.7886022329330444,0.7023364305496216,0.22866587340831757,0.00010000000474974513
32,0.3211764097213745,0.9698310494422913,0.8166838884353638,0.776270866394043,0.09744718670845032,0.650676965713501,0.9414858818054199,0.7487377524375916,0.682927131652832,0.333604097366333,0.00010000000474974513
33,0.32200294733047485,0.9688379168510437,0.8089409470558167,0.7797688245773315,0.10177188366651535,0.6509902477264404,0.9402438998222351,0.7622551918029785,0.7060926556587219,0.35708287358283997,0.00010000000474974513
34,0.31240350008010864,0.9705117344856262,0.8174040913581848,0.7812167406082153,0.09361989051103592,0.6110600233078003,0.9462413191795349,0.7748924493789673,0.7112526297569275,0.3223126530647278,0.00010000000474974513
35,0.30817335844039917,0.9712509512901306,0.8184458613395691,0.7870814800262451,0.09525486826896667,0.5632975101470947,0.9481572508811951,0.7726072072982788,0.705692708492279,0.2689902186393738,0.00010000000474974513
36,0.2939518988132477,0.9727246165275574,0.8330261707305908,0.7968517541885376,0.09080366045236588,0.5598333477973938,0.9470639228820801,0.78024822473526,0.728843629360199,0.288676917552948,0.00010000000474974513
37,0.28934523463249207,0.9732568264007568,0.83491450548172,0.8005812764167786,0.0899265855550766,0.5916818380355835,0.94483482837677,0.7785996794700623,0.7163150906562805,0.3079967796802521,0.00010000000474974513
38,0.28880003094673157,0.9723495841026306,0.8358638286590576,0.8012881875038147,0.09008809179067612,0.5620471835136414,0.9510975480079651,0.8109204769134521,0.7190576791763306,0.28110480308532715,0.00010000000474974513
